ID,Weight in Thousands,gender,hhsize,age,educat,Month,Region
10001,1.579736788,Male,4,32,4,1,8
10002,1.199507517,Male,1,36,6,1,12
10003,1.028016721,Male,5,19,4,1,1
10004,1.375636883,Female,1,53,2,1,3
10006,1.389524996,Male,5,44,7,1,9
10007,1.395075822,Male,1,72,4,1,7
10008,1.990611158,Male,4,26,7,1,1
10009,1.661088216,Female,2,73,3,1,2
10010,0.842402437,Male,2,18,4,1,14
10011,1.928629672,Male,3,15,2,1,4
10013,1.863756219,Male,3,19,3,1,10
10014,1.258873487,Female,4,37,3,1,2
10015,1.511025176,Female,2,63,3,1,3
10016,1.990611158,Male,4,32,5,1,1
10017,2.460916038,Female,2,66,2,1,12
10019,6.345052679,Male,2,76,1,1,12
10020,0.983917373,Female,10,50,3,1,7
10021,2.430045089,Female,3,33,6,1,5
10022,1.282044056,Female,4,55,2,1,1
10023,1.683428251,Male,4,22,2,1,3
10024,2.4703063,Female,2,29,6,1,5
10025,1.972159457,Female,3,46,6,1,3
10026,0.779565125,Female,5,36,2,1,12
10027,1.311093515,Male,2,67,4,1,3
10028,0.989047665,Male,3,19,4,1,4
10029,1.461467613,Male,4,55,3,1,3
10030,1.743553256,Male,2,56,3,1,4
10031,2.042018427,Male,2,32,7,1,3
10032,1.379076708,Female,6,39,7,1,1
10033,2.051132043,Female,1,46,4,1,6
10034,1.172434443,Male,2,74,4,1,9
10035,1.834109049,Male,2,69,2,1,8
10036,1.963775181,Male,3,22,4,1,3
10037,1.404932318,Male,9,24,4,1,3
10039,1.481900535,Female,1,49,2,1,2
10040,1.221284103,Female,2,66,7,1,1
10041,1.231797694,Male,4,19,3,1,1
10042,1.419515937,Male,1,68,7,1,6
10043,1.590365279,Female,1,68,4,1,2
10044,1.614897479,Male,4,20,3,1,5
10045,1.39993186,Female,10,35,5,1,3
10046,1.838925946,Female,2,23,4,1,13
10047,1.411232788,Female,3,47,4,1,12
10048,1.73309682,Male,2,62,3,1,3
10049,1.808185899,Female,4,39,4,1,9
10051,1.282365717,Female,4,38,7,1,6
